emoji,frase,
😡,"MADRE Y ALUMNA LE HACEN LA VIDA IMPOSIBLE A UNA MAESTRA #MaríaLara, maestra de #Aguascalientes, denunció públicamente que está siendo víctima de acoso por parte de una alumna y su madre en la secundaria donde trabaja. Todo comenzó cuando la estudiante difundió un video",
😡,"Y SI LOS HACEMOS FAMOSOS RATAS SUELTAS EN #Chalco #DenunciaCiudadana Por favor ayúdenos a compartir el siguiente #video de unos sujetos que ingresaron a una barbería de #ValleDeChalco, con ar*mas de fueg0 le dieron baje a las pertenencias del encargado y cliente",
😡,"El amigo del video describe el tratado de Guadalupe Hidalgo, pero lo más lamentable es lo que dice al final del video.",
😡,La pregunta del millón q les hago a los criminales de ChileVamos q idearon esta mala reforma para cagar a los chilenos es si en el Gobierno de Piñera los comunistas cedieron y negociaron con uds para alguna ley?,
😡,"Porqué me haces fan de tus besos , luego me los quitas , que rabia me da ",
😡,"LA PLAGA DE ASQUEROSAS RATAS SIGUE AZOTANDO EN ECATERROR Es así, como un #biker, por poco y es robado por unas lacras que iban a bordo de una camioneta color rojo, en calles de Villas de #Ecatepec, a pocos metros de Puente de Fierro, en el #Edomex. Por fortuna, pudo",
😡,La situación en Fuerteventura insostenible Manifestación contra la inseguridad que genera la inmigración ilegal. Los niños como principales víctimas.,
❤️,"Fiel creyente de que no es el dinero, ni el lugar, es la persona. ",
❤️,"Te amo con todo lo que tengo, lo que soy y lo que siento",
❤️,Bueno pa' todo… ,
❤️,"Pienso en ti mucho más de lo que crees, te demuestro más de lo que te prometo y te amo mucho más de lo que jamás podrás imaginar",
❤️,"Nunca había creído que la vida pudiese ser tan bella, hasta que tú apareciste y empezaste a formar parte de ella",
❤️,"Y cuando me besa, sostiene mi cara con ambas manos como si fuese la luna",
❤️,Te miro como si toda mi locura se hubiera enamorado de ti,
❤️,Te miraré cada día como se mira el mar por primera vez,
❤️,"En medio de todo este silencio, tu risa me hace volver a vivir",
❤️,El amor conquista todas las cosas. Démosle paso al amor,
😲,"Weeeeeey, con lo que está pasando con Colombia y EUA.",
😲,Momentos capturados en la historia que probablemente nunca has visto. Te sorprenderán 1. Madonna para Versace,
😲,¿Ya conocías la historia real detrás de esta joya de #StudioGhibli? ¿Con quién irás a verla? ,
😲,Se filtro la nueva temporada de Murder drones!,
😲,"Llora, pero nunca deja de brillar. Seyran sabe que el rojo de sus labios es su mejor armadura. #UnaNuevaVida Descubre más en la web ",
😲,No me deja de sorprender la violencia con la que se generan las tormentas entre San Luis y Córdoba ,
😢,"STRUO"".- La mamá de #FofoMarquez (El cuadro lleva el nombre Amor de Madre"") El mensaje es brutal, no? ",
😢,"Ya escuché el nuevo álbum de Bad Bunny y sabía en lo que me metía, escuché rumores de la composición y su lírica, por eso creí que no era momento de escucharlo. —No sé por qué lo hice. Dije que no lo haría",
😢,"o por mi trabajo, ya no he tenido tiempo para verte, solo apenas por unos instantes solo puedo ver la miniatura de tu directo... Esto de trabajar 12 horas, se está volviendo muy tite, porque cada vez más, ya no puedo verte Pero ni modo, cuando toca, toca. Parezco un Simp diciendo esto....xD",
😢,Hay si ya cansa son uno ignorante no busca información real eso lo triste y yo soy Puertorriqueña pero en serio ver tanta personas con celebro lavado ya harta,
